abolish	do away with; "Slavery was abolished in the mid-19th century in America and in Russia"
abortion	termination of pregnancy
abortion	failure of a plan
absence	the state of being absent; "he was surprised by the absence of any explanation"
absence	failure to be present
absence	the time interval during which something or somebody is away; "he visited during my absence"
absence	the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy
absent	not being in a specified place
absent	nonexistent; "the thumb is absent"; "her appetite was lacking"
absent	lost in thought; showing preoccupation; "an absent stare"; "an absentminded professor"; "the scatty glancing quality of a hyperactive but unfocused intelligence"
absorb	become imbued; "The liquids, light, and gases absorb"
absorb	take up mentally; "he absorbed the knowledge or beliefs of his tribe"
absorb	take up, as of debts or payments; "absorb the costs for something"
absorb	take in, also metaphorically; "The sponge absorbs water well"; "She drew strength from the minister's words"
absorb	cause to become one with; "The sales tax is absorbed into the state income tax"
absorb	suck or take up or in; "A black star absorbs all matter"
absorb	devote (oneself) fully to; "He immersed himself into his studies"
absorb	assimilate or take in; "The immigrants were quickly absorbed into society"
absorb	consume all of one's attention or time; "Her interest in butterflies absorbs her completely"
abstract	existing only in the mind; separated from embodiment; "abstract words like `truth' and `justice'"
abstract	not representing or imitating external reality or the objects of nature; "a large abstract painting"
abstract	dealing with a subject in the abstract without practical purpose or intention; "abstract reasoning"; "abstract science"
absurd	inconsistent with reason or logic or common sense; "the absurd predicament of seeming to argue that virtue is highly desirable but intensely unpleasant"- Walter Lippman
absurd	so unreasonable as to invite derision; "the absurd excuse that the dog ate his homework"; "that's a cockeyed idea"; "ask a nonsensical question and get a nonsensical answer"; "a contribution so small as to be laughable"; "it is ludicrous to call a cottage a mansion"; "a preposterous attempt to turn back the pages of history"; "her conceited assumption of universal interest in her rather dull children was ridiculous"
abundance	the property of a more than adequate quantity or supply; "an age of abundance"
abundance	(physics) the ratio of the number of atoms of a specific isotope of an element to the total number of isotopes present
abundance	(chemistry) the ratio of the total mass of an element in the earth's crust to the total mass of the earth's crust; expressed as a percentage or in parts per million
abuse	cruel or inhumane treatment; "the child showed signs of physical abuse"
abuse	a rude expression intended to offend or hurt; "when a student made a stupid mistake he spared them no abuse"; "they yelled insults at the visiting team"
abuse	improper or excessive use; "alcohol abuse"; "the abuse of public funds"
academy	a secondary school (usually private)
academy	an institution for the advancement of art or science or literature
academy	a school for special training
academy	a learned establishment for the advancement of knowledge
accelerate	move faster; "The car accelerated"
accelerate	cause to move faster; "He accelerated the car"
accent	distinctive manner of oral expression; "he couldn't suppress his contemptuous accent"; "she had a very clear speech pattern"
accent	special importance or significance; "the red light gave the central figure increased emphasis"; "the room was decorated in shades of grey with distinctive red accents"
accent	the usage or vocabulary that is characteristic of a specific group of people; "the immigrants spoke an odd dialect of English"; "he has a strong German accent"; "it has been said that a language is a dialect with an army and navy"
accent	the relative prominence of a syllable or musical note (especially with regard to stress or pitch); "he put the stress on the wrong syllable"
accent	a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation
acceptance	the mental attitude that something is believable and should be accepted as true; "he gave credence to the gossip"; "acceptance of Newtonian mechanics was unquestioned for 200 years"
acceptance	the act of accepting with approval; favorable reception; "its adoption by society"; "the proposal found wide acceptance"
acceptance	the state of being acceptable and accepted; "torn jeans received no acceptance at the country club"
acceptance	(contract law) words signifying consent to the terms of an offer (thereby creating a contract)
acceptance	banking: a time draft drawn on and accepted by a bank
acceptance	a disposition to tolerate or accept people or situations; "all people should practice toleration and live together in peace"
acceptance	the act of taking something that is offered; "her acceptance of the gift encouraged him"; "he anticipated their acceptance of his offer"
accessible	capable of being reached; "a town accessible by rail"
accessible	capable of being read with comprehension; "readily accessible to the nonprofessional reader"; "the tales seem more approachable than his more difficult novels"
accessible	easily obtained; "most students now have computers accessible"; "accessible money"
accessible	easy to get along with or talk to; friendly; "an accessible and genial man"
accidentally	without advance planning; "they met accidentally"
accidentally	of a minor or subordinate nature; "these magnificent achievements were only incidentally influenced by Oriental models"
accidentally	without intention; in an unintentional manner; "she hit him unintentionally"
accommodate	be agreeable or acceptable to; "This suits my needs"
accommodate	make fit for, or change to suit a new purpose; "Adapt our native cuisine to the available food resources of the new country"
accommodate	provide with something desired or needed; "Can you accommodate me with a rental car?"
accommodate	have room for; hold without crowding; "This hotel can accommodate 250 guests"; "The theater admits 300 people"; "The auditorium can't hold more than 500 people"
accommodate	provide housing for; "We are lodging three foreign students this semester"
accommodate	provide a service or favor for someone; "We had to oblige him"
accommodate	make (one thing) compatible with (another); "The scientists had to accommodate the new results with the existing theories"
accomplish	put in effect; "carry out a task"; "execute the decision of the people"; "He actioned the operation"
accomplish	to gain with effort; "she achieved her goal despite setbacks"
accomplishment	the action of accomplishing something
accomplishment	an ability that has been acquired by training
accordance	concurrence of opinion; "we are in accord with your proposal"
accordance	the act of granting rights; "the accordance to Canada of rights of access"
accordingly	(sentence connectors) because of the reason given; "consequently, he didn't do it"; "continued to have severe headaches and accordingly returned to the doctor"
accordingly	in accordance with; "she acted accordingly"
accountability	responsibility to someone or for some activity
accountable	liable to account for one's actions; "governments must be accountable to someone beside themselves"; "fully accountable for what they did"; "the court held the parents answerable for their minor child's acts of vandalism"; "he was answerable to no one"
accountant	someone who maintains and audits business accounts
accounting	a convincing explanation that reveals basic causes; "he was unable to give a clear accounting for his actions"
accounting	a system that provides quantitative information about finances
accounting	the occupation of maintaining and auditing records and preparing financial reports for a business
accounting	a bookkeeper's chronological list of related debits and credits of a business; forms part of a ledger of accounts
accounting	a statement of recent transactions and the resulting balance; "they send me an accounting every month"
accumulate	get or gather together; "I am accumulating evidence for the man's unfaithfulness to his wife"; "She is amassing a lot of data for her thesis"; "She rolled up a small fortune"
accumulate	collect or gather; "Journals are accumulating in my office"; "The work keeps piling up"
accumulation	an increase by natural growth or addition
accumulation	several things grouped together or considered as a whole
accumulation	the act of accumulating
accumulation	(finance) profits that are not paid out as dividends but are added to the capital base of the corporation
accuracy	the quality of being near to the true value; "he was beginning to doubt the accuracy of his compass"; "the lawyer questioned the truth of my account"
accuracy	(mathematics) the number of significant figures given in a number; "the atomic clock enabled scientists to measure time with much greater accuracy"
accurately	with few mistakes; "he works very accurately"
accurately	strictly correctly; "repeated the order accurately"
accusation	a formal charge of wrongdoing brought against a person; the act of imputing blame or guilt
accusation	an assertion that someone is guilty of a fault or offence; "the newspaper published charges that Jones was guilty of drunken driving"
accused	a defendant in a criminal proceeding
acid	any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt
acid	street name for lysergic acid diethylamide
acquisition	the act of contracting or assuming or acquiring possession of something; "the acquisition of wealth"; "the acquisition of one company by another"
acquisition	something acquired; "a recent acquisition by the museum"
acquisition	the cognitive process of acquiring skill or knowledge; "the child's acquisition of language"
acquisition	an ability that has been acquired by training
acre	a unit of area (4840 square yards) used in English-speaking countries
Acre	a territory of western Brazil bordering on Bolivia and Peru
Acre	a town and port in northwestern Israel in the eastern Mediterranean
activate	put in motion or move to act; "trigger a reaction"; "actuate the circuits"
activate	make active or more active; "activate an old file"
activate	make more adsorptive; "activate a metal"
activate	aerate (sewage) so as to favor the growth of organisms that decompose organic matter
activate	make (substances) radioactive
activation	stimulation of activity in an organism or chemical
activation	the activity of causing to have energy and be active
activation	making active and effective (as a bomb)
activist	a militant reformer
acute	having or experiencing a rapid onset and short but severe course; "acute appendicitis"; "the acute phase of the illness"; "acute patients"
acute	extremely sharp or severe; "acute pain"; "felt acute annoyance"; "intense itching and burning"
acute	having or demonstrating ability to recognize or draw fine distinctions; "an acute observer of politics and politicians"; "incisive comments"; "icy knifelike reasoning"; "as sharp and incisive as the stroke of a fang"; "penetrating insight"; "frequent penetrative observations"
acute	of an angle; less than 90 degrees
acute	ending in a sharp point
acute	of critical importance and consequence; "an acute (or critical) lack of research funds"
adaptation	a written work (as a novel) that has been recast in a new form; "the play is an adaptation of a short novel"
adaptation	the process of adapting to something (such as environmental conditions)
adaptation	(physiology) the responsive adjustment of a sense organ (as the eye) to varying conditions (as of light)
addiction	being abnormally tolerant to and dependent on something that is psychologically or physically habit-forming (especially alcohol or narcotic drugs)
addiction	an abnormally strong craving
addiction	(Roman law) a formal award by a magistrate of a thing or person to another person (as the award of a debtor to his creditor); a surrender to a master; "under Roman law addiction was the justification for slavery"
additionally	in addition, by way of addition; furthermore; "he serves additionally as the CEO"
adequate	having the requisite qualities or resources to meet a task; "she had adequate training"; "her training was adequate"; "she was adequate to the job"; "he was equal to the task"
adequate	sufficient for the purpose; "an adequate income"; "the food was adequate"; "enough food"; "food enough"
adequate	about average; acceptable; "more than adequate as a secretary"
adequately	in an adequate manner or to an adequate degree; "he was adequately prepared"
adhere	be compatible or in accordance with; "You must adhere to the rules"
adhere	follow through or carry out a plan without deviation; "They adhered to their plan"
adhere	come or be in close contact with; stick or hold together and resist separation; "The dress clings to her body"; "The label stuck to the box"; "The sushi rice grains cohere"
adhere	be a devoted follower or supporter; "The residents of this village adhered to Catholicism"; "She sticks to her principles"
adhere	be loyal to; "She stood by her husband in times of trouble"; "The friends stuck together through the war"
adhere	stick to firmly; "Will this wallpaper adhere to the wall?"
adjacent	nearest in space or position; immediately adjoining without intervening space; "had adjacent rooms"; "in the next room"; "the person sitting next to me"; "our rooms were side by side"
adjacent	having a common boundary or edge; abutting; touching; "Rhode Island has two bordering states; Massachusetts and Connecticut"; "the side of Germany conterminous with France"; "Utah and the contiguous state of Idaho"; "neighboring cities"
adjacent	near or close to but not necessarily touching; "lands adjacent to the mountains"; "New York and adjacent cities"
adjust	alter or regulate so as to achieve accuracy or conform to a standard; "Adjust the clock, please"; "correct the alignment of the front wheels"
